Time,Plant 1,Plant 2,Plant 3,Plant 4
,,,,
Sat Aug 13 18:27:42 2022,1709,1728,2197,188
,,,,
Sat Aug 13 18:27:43 2022,1718,1747,2211,211
,,,,
Sat Aug 13 18:27:44 2022,1705,1722,2201,190
,,,,
Sat Aug 13 18:27:45 2022,1698,1760,2202,22
,,,,
Sat Aug 13 18:27:46 2022,1741,1750,2213,203
,,,,
Sat Aug 13 18:27:48 2022,1703,1702,2203,214
,,,,
Sat Aug 13 18:27:49 2022,1692,1725,2205,185
,,,,
Sat Aug 13 18:27:50 2022,1730,1743,2197,194
,,,,
Sat Aug 13 18:27:51 2022,1701,1733,2201,192
,,,,
Sat Aug 13 18:27:52 2022,1711,1776,2187,190
,,,,
Sat Aug 13 18:27:53 2022,1719,1735,2198,262
,,,,
Sat Aug 13 18:27:55 2022,1729,1794,2203,193
,,,,
Sat Aug 13 18:27:56 2022,1680,1764,2187,236
,,,,
Sat Aug 13 18:27:57 2022,1697,1746,2194,175
,,,,
Sat Aug 13 18:27:58 2022,1717,1778,2194,214
,,,,
Sat Aug 13 18:27:59 2022,1744,1723,2198,207
,,,,
Sat Aug 13 18:28:00 2022,1723,1755,2206,190
,,,,
Sat Aug 13 18:28:01 2022,1750,1740,2195,208
,,,,
Sat Aug 13 18:28:03 2022,1741,1749,2210,272
,,,,
Sat Aug 13 18:28:04 2022,1725,1715,2212,256
,,,,
Sat Aug 13 18:28:05 2022,1744,1724,2203,101
,,,,
Sat Aug 13 18:28:06 2022,1728,1737,2205,258
,,,,
Sat Aug 13 18:28:07 2022,1682,1741,2198,218
,,,,
Sat Aug 13 18:28:08 2022,1662,1675,2192,227
,,,,
Sat Aug 13 18:28:10 2022,1722,1744,2210,235
,,,,
Sat Aug 13 18:28:11 2022,1675,1738,2199,0
,,,,
Sat Aug 13 18:28:12 2022,1665,1757,2202,179
,,,,
Sat Aug 13 18:28:13 2022,1701,1721,2204,196
,,,,
Sat Aug 13 18:28:14 2022,1699,1719,2205,231
,,,,
Sat Aug 13 18:28:15 2022,1719,1723,2197,172
,,,,
Sat Aug 13 18:28:17 2022,1769,1728,2205,190
,,,,
Sat Aug 13 18:28:18 2022,1680,1728,2215,205
,,,,
Sat Aug 13 18:28:19 2022,1710,1742,2209,199
,,,,
Sat Aug 13 18:28:20 2022,1695,1680,2189,237
,,,,
Sat Aug 13 18:28:21 2022,1705,1744,2207,209
,,,,
Sat Aug 13 18:28:22 2022,1722,1729,2197,200
,,,,
Sat Aug 13 18:28:23 2022,1732,1710,2199,199
,,,,
Sat Aug 13 18:28:25 2022,1728,1727,2193,176
,,,,
Sat Aug 13 18:28:26 2022,1730,1697,2208,233
,,,,
Sat Aug 13 18:28:27 2022,1767,1738,2198,194
